---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
luger,1,400,925,30,10,50,75,0,1,500,4000
tokarev,1,800,925,25,10,100,50,0,0.8,2250,3000
webley,1,600,945,35,100,100,100,0,1,500,4000
sten,1,400,920,30,10,25,25,0,1,500,4000
mp40,1,400,290,30,10,25,25,0,1,500,4000
thompson,1,400,290,30,10,25,25,0,1,500,4000
stg44,1,300,290,40,100,100,75,0,1,500,4000
ppsh,1,100,197,20,10,25,25,0,0.8,1500,2500
m1garand,1,400,395,60,100,100,100,0,1,500,4000
g43,1,100,935,60,100,100,100,0,1,500,4000
svt40,1,400,935,60,100,100,100,0,1,500,4000
mosin,1,800,980,60,100,100,100,0,1,500,4000
springfield,1,800,980,60,100,100,100,0,1,500,4000
kar98,1,800,980,60,100,100,100,0,1,500,4000
leeenfield,1,800,980,60,100,100,100,0,1,500,4000
bar,1,100,920,60,100,100,75,0,1,500,4000
bren,1,100,920,60,100,100,75,0,1,500,4000
dp27,1,100,920,60,100,100,75,0,1,500,4000
mg42,1,100,920,60,100,100,75,0,1,500,4000
rl_m1a1,1,150,9100,100,100,100,100,0,1,500,4000
rl_piat,1,150,1900,100,100,100,100,0,1,500,4000
rl_panzer,1,150,1900,100,100,100,100,0,1,500,4000
rl_rpg,1,150,1900,100,100,100,100,0,1,500,4000
smoke,1,0,0,0,0,0,0,0,1,500,4000
smoke_ru,1,0,0,0,0,0,0,0,1,500,4000
flash,1,1200,0,0,0,0,0,0,1,500,4000
flash_ru,1,1200,0,0,0,0,0,0,1,500,4000
grenade_us,1,0,0,80,90,0,0,0,1,500,4000
smoke_us,1,0,0,0,0,0,0,0,1,500,4000
grenade_ger,1,0,0,80,90,0,100,0,1,500,4000
smoke_ger,1,0,0,0,0,0,0,0,1,500,4000
grenade_svt,1,0,0,80,90,0,0,0,1,500,4000
smoke_svt,1,0,0,0,0,0,0,0,1,500,4000
grenade,1,0,0,80,90,0,0,0,1,500,4000
grenade_ru,1,0,0,80,90,0,0,0,1,500,4000
armour,1,0,50,10,0,0,75,0,1,500,4000
kevlarhelmet,1,0,50,10,0,0,75,0,1,500,4000
supp_pistol,1,-50,0,0,0,0,0,0,1,500,4000
supp_rifle,1,-200,0,0,0,0,0,0,1,500,4000
scope,1,0,0,0,0,0,0,0,1,500,4000
grip_angled,1,-100,0,0,0,0,0,0,1,500,4000
grip_vertical,1,-150,0,0,0,0,0,0,1,500,4000
flashlight_rifle,1,-100,0,0,0,0,0,0,1,500,4000
laser_rifle,1,-100,0,0,0,0,0,0,1,500,4000
laser_pistol,1,-100,0,0,0,0,0,0,1,500,4000
acog,1,-50,0,0,0,0,0,0,1,500,4000
holo,1,-150,0,0,0,0,0,0,1,500,4000
reddot,1,-150,0,0,0,0,0,0,1,500,4000
painkillers,1,0,0,0,0,0,0,0,1,500,4000
knife,1,1200,0,0,0,0,0,0,1,500,4000
taser,1,500,10,10,0,0,0,0,1,500,4000
newtonlauncher,1,0,930,0,0,0,100,0,1,500,4000
tttknife,1,0,50,10,0,0,75,0,1,500,4000
healthstation,1,0,50,10,0,0,75,0,1,500,4000
monocular,1,0,50,10,0,0,75,0,1,500,4000
teleporter,1,0,50,10,0,0,75,0,1,500,4000
ballisticsshield,1,0,50,10,0,0,75,0,1,500,4000
flaregun,1,0,1,0,0,0,1,0,1,500,4000
dnascanner,1,0,50,10,0,0,75,0,1,500,4000
silentcet9,1,500,25,25,50,80,50,0,1,500,2000
detectivesmg,1,0,20,30,10,100,25,0,0.75,500,2000
tttc4,1,0,50,10,100,0,75,0,1,500,4000
goldengun,1,0,200,200,100,100,100,0,1,500,4000
grenade_dis,1,0,50,10,0,0,75,0,1,500,4000
trenchgun,1,600,915,15,10,25,0,0,0.67,750,1500
tranqgun,1,0,917,0,0,10,1,0,1,500,4000
hunting,1,800,950,60,100,100,100,0,1,500,4000
skorpion,1,600,920,20,10,50,25,0,0.85,1250,2000
pkm,1,100,20,20,100,100,100,0,1,500,4000
gas,1,0,0,0,0,0,100,0,1,500,4000
thompson_drum,1,400,920,30,10,25,25,0,1,500,4000
ppsh_drum,1,100,917,20,10,25,25,0,0.8,1500,2500
